9.96796,0.59607
9.89136,0.637818
9.76457,0.71652
9.58889,0.849293
9.36612,1.06036
9.09855,1.37779
8.78892,1.81097
8.44041,2.30003
8.0566,2.66324
7.64143,2.65779
7.19914,2.21034
6.7343,1.54646
6.25165,0.968968
5.75617,0.604736
5.25292,0.424252
4.74708,0.368098
4.24383,0.409748
3.74835,0.565408
3.2657,0.883567
2.80086,1.39679
2.35857,2.0247
1.9434,2.53801
1.55959,2.71811
1.21108,2.54975
0.90145,2.19071
0.633878,1.8081
0.411108,1.49127
0.235427,1.26271
0.108636,1.11452
0.0320379,1.03255
0.00320873,1.00321
