9.96796,0.596387
9.89136,0.637732
9.76457,0.716559
9.58889,0.849271
9.36612,1.06037
9.09855,1.37778
8.78892,1.81098
8.44041,2.30003
8.0566,2.66324
7.64143,2.65779
7.19914,2.21035
6.7343,1.54645
6.25165,0.96897
5.75617,0.604734
5.25292,0.424254
4.74708,0.368096
4.24383,0.409749
3.74835,0.565407
3.2657,0.883572
2.80086,1.39681
2.35857,2.02475
1.9434,2.53813
1.55959,2.71838
1.21108,2.5503
0.90145,2.19172
0.633878,1.80974
0.411108,1.49372
0.235427,1.26602
0.108636,1.11861
0.0320379,1.03717
0.00320873,1.00805
